satisfaction_level,last_evaluation,number_project,time_spend_company,left,promotion_last_5years,salary,work_accident,average_monthly_hours,department
0.38,0.53,2,3,1,0,1,0,157,7
0.8,0.86,5,6,1,0,2,0,262,7
0.11,0.88,7,4,1,0,2,0,272,7
0.72,0.87,5,5,1,0,1,0,223,7
0.37,0.52,2,3,1,0,1,0,159,7
0.41,0.5,2,3,1,0,1,0,153,7
0.1,0.77,6,4,1,0,1,0,247,7
0.92,0.85,5,5,1,0,1,0,259,7
0.89,1.0,5,5,1,0,1,0,224,7
0.42,0.53,2,3,1,0,1,0,142,7
0.45,0.54,2,3,1,0,1,0,135,7
0.11,0.81,6,4,1,0,1,0,305,7
0.84,0.92,4,5,1,0,1,0,234,7
0.41,0.55,2,3,1,0,1,0,148,7
0.36,0.56,2,3,1,0,1,0,137,7
0.38,0.54,2,3,1,0,1,0,143,7
0.45,0.47,2,3,1,0,1,0,160,7
0.78,0.99,4,6,1,0,1,0,255,7
0.45,0.51,2,3,1,1,1,1,160,7
0.76,0.89,5,5,1,0,1,0,262,7
0.11,0.83,6,4,1,0,1,0,282,7
0.38,0.55,2,3,1,0,1,0,147,7
0.09,0.95,6,4,1,0,1,0,304,7
0.46,0.57,2,3,1,0,1,0,139,7
0.4,0.53,2,3,1,0,1,0,158,7
0.89,0.92,5,5,1,0,1,0,242,7
0.82,0.87,4,5,1,0,1,0,239,7
0.4,0.49,2,3,1,0,1,0,135,7
0.41,0.46,2,3,1,0,1,0,128,2
0.38,0.5,2,3,1,0,1,0,132,2
0.09,0.62,6,4,1,0,1,0,294,2
0.45,0.57,2,3,1,0,1,0,134,3
0.4,0.51,2,3,1,0,1,0,145,3
0.45,0.55,2,3,1,0,1,0,140,3
0.84,0.87,4,6,1,0,1,0,246,3
0.1,0.94,6,4,1,0,1,0,255,9
0.38,0.46,2,3,1,0,1,0,137,9
0.45,0.5,2,3,1,0,1,0,126,9
0.11,0.89,6,4,1,0,1,0,306,9
0.41,0.54,2,3,1,0,1,0,152,9
0.87,0.88,5,5,1,0,1,0,269,9
0.45,0.48,2,3,1,0,1,0,158,9
0.4,0.46,2,3,1,0,1,0,127,9
0.1,0.8,7,4,1,0,1,0,281,9
0.09,0.89,6,4,1,0,1,0,276,9
0.84,0.74,3,4,1,0,1,0,182,9
0.4,0.55,2,3,1,0,1,0,147,8
0.57,0.7,3,6,1,0,1,0,273,8
0.4,0.54,2,3,1,0,1,0,148,8
0.43,0.47,2,3,1,0,1,0,147,8
0.13,0.78,6,2,1,0,1,0,152,8
0.44,0.55,2,3,1,0,1,0,135,8
0.38,0.55,2,3,1,0,1,0,134,8
0.39,0.54,2,3,1,0,1,0,132,8
0.1,0.92,7,4,1,0,1,0,307,8
0.37,0.46,2,3,1,0,1,0,140,8
0.11,0.94,7,4,1,0,1,0,255,8
0.1,0.81,6,4,1,0,1,0,309,9
0.38,0.54,2,3,1,0,1,0,128,9
0.85,1.0,4,5,1,0,1,0,225,9
0.85,0.91,5,5,1,0,2,0,226,4
0.11,0.93,7,4,1,0,2,0,308,0
0.1,0.95,6,5,1,0,2,0,244,0
0.36,0.56,2,3,1,0,2,0,132,0
0.11,0.94,6,4,1,0,2,0,286,0
0.81,0.7,6,4,1,0,2,0,161,0
0.43,0.54,2,3,1,0,2,0,153,6
0.9,0.98,4,6,1,0,2,0,264,6
0.76,0.86,5,5,1,0,2,1,223,6
0.43,0.5,2,3,1,0,2,0,135,6
0.74,0.99,2,3,1,0,2,0,277,0
0.09,0.77,5,4,1,0,2,0,275,6
0.45,0.49,2,3,1,0,0,0,149,6
0.09,0.87,7,4,1,0,1,0,295,6
0.11,0.97,6,4,1,0,2,0,277,6
0.11,0.79,7,4,1,0,2,0,306,6
0.1,0.83,6,4,1,0,2,0,295,6
0.4,0.54,2,3,1,0,2,0,137,5
0.43,0.56,2,3,1,0,1,0,157,7
0.39,0.56,2,3,1,0,1,0,142,2
0.45,0.54,2,3,1,0,1,0,140,8
0.38,0.49,2,3,1,0,1,0,151,9
0.79,0.59,4,3,1,1,1,0,139,4
0.84,0.85,4,6,1,0,1,0,249,5
0.11,0.77,6,4,1,0,1,0,291,5
0.11,0.87,6,4,1,0,1,0,305,5
0.17,0.84,5,3,1,0,1,0,232,7
0.44,0.45,2,3,1,0,1,0,132,7
0.37,0.57,2,3,1,0,1,0,130,7
0.1,0.79,6,4,1,0,1,0,291,7
0.4,0.5,2,3,1,0,1,0,130,7
0.89,1.0,5,5,1,0,1,0,246,7
0.42,0.48,2,3,1,0,1,0,143,7
0.46,0.55,2,3,1,0,1,0,129,7
0.09,0.83,6,4,1,0,1,0,255,7
0.37,0.51,2,3,1,0,1,0,155,7
0.1,0.77,6,4,1,0,1,0,265,7
0.1,0.84,6,4,1,0,1,0,279,7
0.11,0.97,6,4,1,0,1,0,284,7
0.9,1.0,5,6,1,0,2,0,221,7
0.38,0.52,2,3,1,0,2,0,154,7
0.36,0.52,2,3,1,0,2,0,147,7
